trans_id,trans_date,supplier,department,amount,payment_method,approver,is_urgent
TXN000001,2026-05-05 11:56:41,供应商D公司,采购部,19878.05,现金,王芳,是
TXN000002,2026-02-13 16:14:14,供应商E公司,采购部,11960.78,现金,刘洋,是
TXN000003,2026-01-07 12:07:04,供应商A公司,采购部,22429.91,银行转账,李华,是
TXN000004,2026-05-20 08:53:35,供应商R公司,市场部,45180.64,银行转账,赵强,否
TXN000005,2026-01-02 14:17:11,供应商F公司,市场部,11077.57,支票,王芳,是
TXN000006,2026-05-29 14:08:25,供应商K公司,采购部,11077.71,银行转账,赵强,是
TXN000007,2026-04-28 13:34:02,供应商I公司,采购部,47257.67,现金,赵强,是
TXN000008,2026-06-29 10:12:28,供应商M公司,采购部,24684.92,现金,王芳,否
TXN000009,2026-04-23 10:39:21,供应商G公司,采购部,626639.12,银行转账,李华,否
TXN000010,2026-06-16 10:04:10,供应商H公司,采购部,20620.64,支票,王芳,否
TXN000011,2026-05-11 11:14:33,供应商I公司,采购部,9221.25,现金,李华,是
TXN000012,2026-05-05 14:36:54,供应商R公司,财务部,9204.21,现金,王芳,是
TXN000013,2026-01-07 13:35:52,供应商K公司,市场部,16213.02,支票,张明,是
TXN000014,2026-04-21 11:15:02,供应商K公司,财务部,2891.05,现金,赵强,否
TXN000015,2026-03-31 10:24:16,供应商E公司,行政部,3361.24,银行转账,李华,否
TXN000016,2026-05-26 09:20:12,供应商S公司,市场部,8519.99,现金,赵强,否
TXN000017,2026-06-17 13:01:49,供应商D公司,财务部,5941.61,现金,李华,否
TXN000018,2026-01-13 16:03:38,供应商M公司,市场部,17178.22,现金,赵强,否
TXN000019,2026-06-17 11:31:26,供应商A公司,采购部,6461.27,现金,刘洋,否
TXN000020,2026-03-30 10:30:20,供应商A公司,行政部,4316.31,现金,李华,是
TXN000021,2026-06-19 08:54:38,供应商J公司,技术部,43153.51,现金,李华,是
TXN000022,2026-05-29 09:33:28,供应商F公司,技术部,11152.05,现金,张明,否
TXN000023,2026-06-30 17:54:48,供应商L公司,行政部,14101.3,银行转账,张明,是
