trans_id,trans_date,supplier,department,amount,risk_type,risk_level,trigger_reason
TXN000009,2026-04-23 10:39:21,供应商G公司,采购部,626639.12,金额异常,高,金额 626639.12 超过均值+3σ(267245.18) 或固定阈值 100000
TXN000041,2026-04-14 11:13:37,供应商F公司,采购部,24119.44,重复付款,高,同一供应商存在相同金额且日期差≤3天的交易
TXN000045,2026-05-11 09:08:57,供应商K公司,财务部,4093.61,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000055,2026-06-05 15:44:37,供应商F公司,市场部,785984.33,金额异常,高,金额 785984.33 超过均值+3σ(267245.18) 或固定阈值 100000
TXN000068,2026-05-08 11:08:57,供应商K公司,市场部,29816.77,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000070,2026-01-20 22:11:00,供应商K公司,采购部,7973.7,异常时间,中,交易发生在周末或深夜（22:11）
TXN000078,2026-03-27 17:57:17,供应商C公司,行政部,10517.48,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000083,2026-05-27 15:26:54,供应商M公司,市场部,43578.33,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000091,2026-04-01 15:12:55,供应商I公司,行政部,14438.62,重复付款,高,同一供应商存在相同金额且日期差≤3天的交易
TXN000104,2026-04-14 10:16:31,供应商L公司,市场部,7031.66,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000111,2026-04-02 11:32:53,供应商P公司,市场部,607631.33,金额异常,高,金额 607631.33 超过均值+3σ(267245.18) 或固定阈值 100000
TXN000118,2026-03-30 11:56:21,供应商C公司,财务部,5245.14,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000128,2026-03-30 15:38:32,供应商C公司,行政部,8492.7,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000142,2026-01-13 22:27:00,供应商Q公司,市场部,38014.17,异常时间,中,交易发生在周末或深夜（22:27）
TXN000161,2026-01-06 23:43:00,供应商H公司,市场部,6125.74,异常时间,中,交易发生在周末或深夜（23:43）
TXN000180,2026-01-07 09:10:21,供应商B公司,市场部,117728.37,金额异常,高,金额 117728.37 超过均值+3σ(267245.18) 或固定阈值 100000
TXN000182,2026-02-23 17:40:02,供应商T公司,技术部,6729.62,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000202,2026-03-31 14:36:36,供应商C公司,行政部,20923.49,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000204,2026-03-05 09:31:45,供应商F公司,技术部,31040.3,重复付款,高,同一供应商存在相同金额且日期差≤3天的交易
TXN000210,2026-05-13 14:18:43,供应商S公司,技术部,291322.21,金额异常,高,金额 291322.21 超过均值+3σ(267245.18) 或固定阈值 100000
TXN000211,2026-03-27 17:26:35,供应商C公司,市场部,21093.34,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000229,2026-06-01 10:19:15,供应商M公司,技术部,7538.34,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000247,2026-01-20 22:27:00,供应商B公司,财务部,9136.6,异常时间,中,交易发生在周末或深夜（22:27）
TXN000264,2026-01-14 22:35:00,供应商J公司,财务部,5886.93,异常时间,中,交易发生在周末或深夜（22:35）
TXN000277,2026-03-30 09:40:07,供应商C公司,采购部,15666.0,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000287,2026-01-07 22:21:00,供应商G公司,行政部,11832.11,异常时间,中,交易发生在周末或深夜（22:21）
TXN000291,2026-01-28 11:25:35,供应商K公司,技术部,680278.42,金额异常,高,金额 680278.42 超过均值+3σ(267245.18) 或固定阈值 100000
TXN000300,2026-04-17 09:49:03,供应商L公司,行政部,22108.18,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000320,2026-01-20 23:28:00,供应商I公司,行政部,12038.75,异常时间,中,交易发生在周末或深夜（23:28）
TXN000324,2026-03-30 16:21:15,供应商T公司,行政部,71247.13,重复付款,高,同一供应商存在相同金额且日期差≤3天的交易
TXN000342,2026-01-14 23:47:00,供应商J公司,财务部,16235.41,异常时间,中,交易发生在周末或深夜（23:47）
TXN000355,2026-05-08 10:41:39,供应商K公司,行政部,13158.02,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000361,2026-01-13 23:15:00,供应商I公司,技术部,20241.24,异常时间,中,交易发生在周末或深夜（23:15）
TXN000361,2026-01-13 23:15:00,供应商I公司,技术部,20241.24,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000368,2026-05-27 09:45:35,供应商M公司,采购部,13494.99,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000390,2026-02-19 09:34:55,供应商E公司,市场部,803416.13,金额异常,高,金额 803416.13 超过均值+3σ(267245.18) 或固定阈值 100000
TXN000395,2026-01-20 11:32:23,供应商I公司,财务部,34322.35,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000403,2026-01-21 22:05:00,供应商M公司,采购部,13415.89,异常时间,中,交易发生在周末或深夜（22:05）
TXN000415,2026-01-07 16:22:12,供应商I公司,财务部,17428.31,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000435,2026-03-25 16:21:40,供应商C公司,采购部,44439.57,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000446,2026-05-26 13:12:14,供应商M公司,行政部,22827.88,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000458,2026-01-13 17:39:54,供应商I公司,技术部,5836.03,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000467,2026-04-16 11:47:00,供应商L公司,采购部,21836.4,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000469,2026-05-19 12:32:27,供应商I公司,采购部,8739.42,重复付款,高,同一供应商存在相同金额且日期差≤3天的交易
TXN000470,2026-03-31 08:34:09,供应商C公司,技术部,8428.26,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000475,2026-04-15 09:35:21,供应商L公司,财务部,49810.16,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
TXN000479,2026-01-19 17:27:06,供应商O公司,采购部,156859.32,金额异常,高,金额 156859.32 超过均值+3σ(267245.18) 或固定阈值 100000
TXN000498,2026-04-13 12:42:42,供应商L公司,采购部,11472.74,高频交易,中,同一供应商 7 天内交易次数 ≥ 6
